ID,total,param,local,global,compiles,time,J,GFLOP/s,GFLOP/watt,status
1,578,0   16   16   32    8    8    8    8    2    1    1    0    0    0    0    1,8       8,2048    2048,OK     43 ms,97.62 ms,11.65,1407.8,11.8,results match
2,578,0   16   16   32    8    8    8    8    2    1    1    0    0    1    1    1,8       8,2048    2048,OK     34 ms,77.59 ms,9.68,1771.1,14.2,results match
3,578,0   16   16   32    8    8    8    8    2    1    2    0    0    0    0    1,8       8,2048    2048,OK     24 ms,80.96 ms,9.49,1697.4,14.5,results match
4,578,0   16   16   32    8    8    8    8    2    1    2    0    0    1    1    1,8       8,2048    2048,OK     32 ms,66.69 ms,8.39,2060.5,16.4,results match
5,578,0   16   16   32    8    8    8    8    2    2    1    0    0    0    0    1,8       8,2048    2048,OK     25 ms,75.62 ms,9.26,1817.3,14.8,results match
6,578,0   16   16   32    8    8    8    8    2    2    1    0    0    1    1    1,8       8,2048    2048,OK     27 ms,63.37 ms,8.22,2168.4,16.7,results match
7,578,0   16   16   32    8    8    8    8    2    2    2    0    0    0    0    1,8       8,2048    2048,OK     24 ms,61.70 ms,7.81,2227.2,17.6,results match
8,578,0   16   16   32    8    8    8    8    2    2    2    0    0    1    1    1,8       8,2048    2048,OK     23 ms,60.44 ms,7.84,2273.6,17.5,results match
9,578,0   16   16   32    8   16    8   16    2    1    1    0    0    0    0    1,8      16,2048    4096,OK     33 ms,113.03 ms,13.26,1215.8,10.4,results match
10,578,0   16   16   32    8   16    8   16    2    1    1    0    0    1    1    1,8      16,2048    4096,OK     21 ms,89.57 ms,10.71,1534.3,12.8,results match
11,578,0   16   16   32    8   16    8   16    2    2    1    0    0    0    0    1,8      16,2048    4096,OK     24 ms,90.90 ms,10.92,1511.9,12.6,results match
12,578,0   16   16   32    8   16    8   16    2    2    1    0    0    1    1    1,8      16,2048    4096,OK     41 ms,79.13 ms,9.66,1736.7,14.2,results match
13,578,0   16   16   32   16    8   16    8    2    1    1    0    0    0    0    1,16       8,4096    2048,OK     26 ms,119.58 ms,13.88,1149.2,9.9,results match
14,578,0   16   16   32   16    8   16    8    2    1    1    0    0    1    1    1,16       8,4096    2048,OK     28 ms,90.87 ms,10.71,1512.3,12.8,results match
15,578,0   16   16   32   16    8   16    8    2    1    2    0    0    0    0    1,16       8,4096    2048,OK     27 ms,94.27 ms,11.28,1457.7,12.2,results match
16,578,0   16   16   32   16    8   16    8    2    1    2    0    0    1    1    1,16       8,4096    2048,OK     23 ms,75.37 ms,9.13,1823.3,15.0,results match
17,578,0   16   16   32   16   16   16   16    2    1    1    0    0    0    0    1,16      16,4096    4096,OK     22 ms,148.67 ms,17.05,924.4,8.1,results match
18,578,0   16   16   32   16   16   16   16    2    1    1    0    0    1    1    1,16      16,4096    4096,OK     37 ms,102.78 ms,11.62,1337.0,11.8,results match
19,578,0   16   32   32    8    8    8    8    2    1    1    0    0    0    0    1,8       8,2048    1024,OK     30 ms,59.30 ms,6.95,2317.4,19.8,results match
20,578,0   16   32   32    8    8    8    8    2    1    1    0    0    1    1    1,8       8,2048    1024,OK     31 ms,58.16 ms,6.96,2362.6,19.7,results match
21,578,0   16   32   32    8    8    8    8    2    1    2    0    0    0    0    1,8       8,2048    1024,OK     24 ms,52.22 ms,6.08,2631.7,22.6,results match
22,578,0   16   32   32    8    8    8    8    2    1    2    0    0    1    1    1,8       8,2048    1024,OK     22 ms,48.82 ms,6.02,2815.0,22.8,results match
23,578,0   16   32   32    8    8    8    8    2    1    4    0    0    0    0    1,8       8,2048    1024,OK     20 ms,44.60 ms,5.40,3081.1,25.4,results match
24,578,0   16   32   32    8    8    8    8    2    1    4    0    0    1    1    1,8       8,2048    1024,OK     19 ms,45.40 ms,5.66,3026.9,24.3,results match
25,578,0   16   32   32    8    8    8    8    2    2    1    0    0    0    0    1,8       8,2048    1024,OK     25 ms,56.10 ms,6.47,2449.5,21.3,results match
26,578,0   16   32   32    8    8    8    8    2    2    1    0    0    1    1    1,8       8,2048    1024,OK     52 ms,46.48 ms,5.81,2956.8,23.6,results match
27,578,0   16   32   32    8    8    8    8    2    2    2    0    0    0    0    1,8       8,2048    1024,OK     31 ms,50.43 ms,6.08,2724.8,22.6,results match
28,578,0   16   32   32    8    8    8    8    2    2    2    0    0    1    1    1,8       8,2048    1024,OK     30 ms,45.24 ms,5.66,3037.8,24.3,results match
29,578,0   16   32   32    8    8    8    8    2    2    4    0    0    0    0    1,8       8,2048    1024,OK     27 ms,40.91 ms,4.94,3359.0,27.8,results match
30,578,0   16   32   32    8    8    8    8    2    2    4    0    0    1    1    1,8       8,2048    1024,OK     20 ms,41.79 ms,5.27,3288.6,26.1,results match
31,578,0   16   32   32    8   16    8   16    2    1    1    0    0    0    0    1,8      16,2048    2048,OK     27 ms,81.55 ms,9.61,1685.2,14.3,results match
32,578,0   16   32   32    8   16    8   16    2    1    1    0    0    1    1    1,8      16,2048    2048,OK     14 ms,64.79 ms,7.54,2121.0,18.2,results match
33,578,0   16   32   32    8   16    8   16    2    1    2    0    0    0    0    1,8      16,2048    2048,OK     22 ms,69.92 ms,8.21,1965.3,16.7,results match
34,578,0   16   32   32    8   16    8   16    2    1    2    0    0    1    1    1,8      16,2048    2048,OK     20 ms,55.04 ms,6.50,2497.0,21.1,results match
35,578,0   16   32   32    8   16    8   16    2    2    1    0    0    0    0    1,8      16,2048    2048,OK     19 ms,70.82 ms,8.30,1940.6,16.6,results match
36,578,0   16   32   32    8   16    8   16    2    2    1    0    0    1    1    1,8      16,2048    2048,OK     21 ms,52.24 ms,6.30,2630.6,21.8,results match
37,578,0   16   32   32    8   16    8   16    2    2    2    0    0    0    0    1,8      16,2048    2048,OK     16 ms,57.38 ms,6.94,2394.9,19.8,results match
38,578,0   16   32   32    8   16    8   16    2    2    2    0    0    1    1    1,8      16,2048    2048,OK     12 ms,49.83 ms,6.00,2758.0,22.9,results match
39,578,0   16   32   32    8   32    8   32    2    1    1    0    0    0    0    1,8      32,2048    4096,OK     10 ms,106.06 ms,11.73,1295.7,11.7,results match
40,578,0   16   32   32    8   32    8   32    2    1    1    0    0    1    1    1,8      32,2048    4096,OK     11 ms,76.38 ms,8.27,1799.2,16.6,results match
41,578,0   16   32   32    8   32    8   32    2    2    1    0    0    0    0    1,8      32,2048    4096,OK     29 ms,85.49 ms,9.85,1607.5,13.9,results match
42,578,0   16   32   32    8   32    8   32    2    2    1    0    0    1    1    1,8      32,2048    4096,OK     16 ms,68.50 ms,7.76,2006.0,17.7,results match
43,578,0   16   32   32   16    8   16    8    2    1    1    0    0    0    0    1,16       8,4096    1024,OK     15 ms,85.58 ms,9.64,1605.7,14.3,results match
44,578,0   16   32   32   16    8   16    8    2    1    1    0    0    1    1    1,16       8,4096    1024,OK     22 ms,73.39 ms,8.32,1872.5,16.5,results match
45,578,0   16   32   32   16    8   16    8    2    1    2    0    0    0    0    1,16       8,4096    1024,OK     19 ms,67.96 ms,7.41,2022.0,18.6,results match
46,578,0   16   32   32   16    8   16    8    2    1    2    0    0    1    1    1,16       8,4096    1024,OK     13 ms,59.20 ms,6.86,2321.2,20.0,results match
47,578,0   16   32   32   16    8   16    8    2    1    4    0    0    0    0    1,16       8,4096    1024,OK     23 ms,59.45 ms,7.06,2311.4,19.5,results match
