|   ID | total |                                                                           param |      local      |      global     |       compiles |         time |          J |  GFLOP/s |     GFLOP/watt |            status |
x------x-------x---------------------------------------------------------------------------------x-----------------x-----------------x----------------x--------------x------------x----------x----------------x-------------------x
|    1 |   578 |    0   16   16   32    8    8    8    8    2    1    1    0    0    0    0    1 |       8       8 |    2048    2048 |   OK     11 ms |     60.75 ms |      11.87 |   2262.2 |           11.6 |     results match |
|    2 |   578 |    0   16   16   32    8    8    8    8    2    1    1    0    0    1    1    1 |       8       8 |    2048    2048 |   OK     10 ms |     49.75 ms |       9.87 |   2762.5 |           13.9 |     results match |
|    3 |   578 |    0   16   16   32    8    8    8    8    2    1    2    0    0    0    0    1 |       8       8 |    2048    2048 |   OK     10 ms |     49.40 ms |       9.62 |   2781.5 |           14.3 |     results match |
|    4 |   578 |    0   16   16   32    8    8    8    8    2    1    2    0    0    1    1    1 |       8       8 |    2048    2048 |   OK     11 ms |     39.91 ms |       7.98 |   3443.5 |           17.2 |     results match |
|    5 |   578 |    0   16   16   32    8    8    8    8    2    2    1    0    0    0    0    1 |       8       8 |    2048    2048 |   OK     15 ms |     43.07 ms |       8.48 |   3190.8 |           16.2 |     results match |
|    6 |   578 |    0   16   16   32    8    8    8    8    2    2    1    0    0    1    1    1 |       8       8 |    2048    2048 |   OK     10 ms |     38.24 ms |       7.56 |   3593.2 |           18.2 |     results match |
|    7 |   578 |    0   16   16   32    8    8    8    8    2    2    2    0    0    0    0    1 |       8       8 |    2048    2048 |   OK      9 ms |     34.73 ms |       6.90 |   3956.4 |           19.9 |     results match |
|    8 |   578 |    0   16   16   32    8    8    8    8    2    2    2    0    0    1    1    1 |       8       8 |    2048    2048 |   OK     12 ms |     35.70 ms |       7.07 |   3849.0 |           19.4 |     results match |
|    9 |   578 |    0   16   16   32    8   16    8   16    2    1    1    0    0    0    0    1 |       8      16 |    2048    4096 |   OK     10 ms |     68.71 ms |      13.65 |   2000.0 |           10.1 |     results match |
|   10 |   578 |    0   16   16   32    8   16    8   16    2    1    1    0    0    1    1    1 |       8      16 |    2048    4096 |   OK     10 ms |     54.00 ms |      10.77 |   2544.8 |           12.8 |     results match |
|   11 |   578 |    0   16   16   32    8   16    8   16    2    2    1    0    0    0    0    1 |       8      16 |    2048    4096 |   OK      9 ms |     48.20 ms |       9.60 |   2850.8 |           14.3 |     results match |
|   12 |   578 |    0   16   16   32    8   16    8   16    2    2    1    0    0    1    1    1 |       8      16 |    2048    4096 |   OK     10 ms |     48.20 ms |       9.56 |   2851.2 |           14.4 |     results match |
|   13 |   578 |    0   16   16   32   16    8   16    8    2    1    1    0    0    0    0    1 |      16       8 |    4096    2048 |   OK      9 ms |     67.03 ms |      13.28 |   2050.1 |           10.3 |     results match |
|   14 |   578 |    0   16   16   32   16    8   16    8    2    1    1    0    0    1    1    1 |      16       8 |    4096    2048 |   OK      9 ms |     54.17 ms |      10.78 |   2537.1 |           12.7 |     results match |
|   15 |   578 |    0   16   16   32   16    8   16    8    2    1    2    0    0    0    0    1 |      16       8 |    4096    2048 |   OK     13 ms |     50.90 ms |      10.03 |   2699.9 |           13.7 |     results match |
|   16 |   578 |    0   16   16   32   16    8   16    8    2    1    2    0    0    1    1    1 |      16       8 |    4096    2048 |   OK      9 ms |     40.97 ms |       8.15 |   3353.8 |           16.9 |     results match |
|   17 |   578 |    0   16   16   32   16   16   16   16    2    1    1    0    0    0    0    1 |      16      16 |    4096    4096 |   OK     11 ms |     83.83 ms |      16.71 |   1639.4 |            8.2 |     results match |
|   18 |   578 |    0   16   16   32   16   16   16   16    2    1    1    0    0    1    1    1 |      16      16 |    4096    4096 |   OK      9 ms |     58.56 ms |      11.67 |   2346.9 |           11.8 |     results match |
|   19 |   578 |    0   16   32   32    8    8    8    8    2    1    1    0    0    0    0    1 |       8       8 |    2048    1024 |   OK     10 ms |     32.44 ms |       6.41 |   4235.8 |           21.4 |     results match |
|   20 |   578 |    0   16   32   32    8    8    8    8    2    1    1    0    0    1    1    1 |       8       8 |    2048    1024 |   OK      9 ms |     36.03 ms |       7.16 |   3813.8 |           19.2 |     results match |
|   21 |   578 |    0   16   32   32    8    8    8    8    2    1    2    0    0    0    0    1 |       8       8 |    2048    1024 |   OK      9 ms |     29.11 ms |       5.71 |   4720.7 |           24.1 |     results match |
|   22 |   578 |    0   16   32   32    8    8    8    8    2    1    2    0    0    1    1    1 |       8       8 |    2048    1024 |   OK     14 ms |     27.83 ms |       5.50 |   4938.6 |           25.0 |     results match |
|   23 |   578 |    0   16   32   32    8    8    8    8    2    1    4    0    0    0    0    1 |       8       8 |    2048    1024 |   OK      9 ms |     24.24 ms |       4.78 |   5669.6 |           28.7 |     results match |
|   24 |   578 |    0   16   32   32    8    8    8    8    2    1    4    0    0    1    1    1 |       8       8 |    2048    1024 |   OK     10 ms |     25.15 ms |       5.02 |   5464.4 |           27.4 |     results match |
|   25 |   578 |    0   16   32   32    8    8    8    8    2    2    1    0    0    0    0    1 |       8       8 |    2048    1024 |   OK     10 ms |     30.80 ms |       6.07 |   4461.5 |           22.6 |     results match |
|   26 |   578 |    0   16   32   32    8    8    8    8    2    2    1    0    0    1    1    1 |       8       8 |    2048    1024 |   OK      8 ms |     27.22 ms |       5.39 |   5048.5 |           25.5 |     results match |
